Geo Point;Geo Shape;gml_id;GID;NOM_SITE_A;ESP_VISEE;ESP_DETAIL;TERRIT_P
44.824661115785, -0.5818709072465998;"{""coordinates"": [-0.5818709072466, 44.824661115785], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79895;79895;Jardin des Dames de la foi 69;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.855174728524595, -0.6014863937209527;"{""coordinates"": [-0.601486393720953, 44.855174728524595], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80049;80049;Parc Bordelais Abris O Chênaie;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.854131328858514, -0.632327131056902;"{""coordinates"": [-0.632327131056902, 44.854131328858514], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79883;79883;Parc Monséjour 104;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.88294059282123, -0.5405153228361179;"{""coordinates"": [-0.540515322836118, 44.88294059282123], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79910;79910;Parc des Berges de Garonne A 209;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84901526611568, -0.5786808774605657;"{""coordinates"": [-0.578680877460566, 44.84901526611568], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80002;80002;Jardin Public C 4 Espaces Centraux;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.85519419187455, -0.5864462524626002;"{""coordinates"": [-0.5864462524626, 44.85519419187455], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79952;79952;Parc Rivière Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84794065948023, -0.5955466201592837;"{""coordinates"": [-0.595546620159284, 44.84794065948023], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79829;79829;Jardin de la Visitation_Bâtiment;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.854512116497126, -0.5874033728214573;"{""coordinates"": [-0.587403372821457, 44.854512116497126], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79871;79871;Parc Rivière 108 Lisière;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.82641757392131, -0.5974764315483911;"{""coordinates"": [-0.597476431548391, 44.82641757392131], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79884;79884;Jardin de la Béchade A;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.82480694448113, -0.582166036216812;"{""coordinates"": [-0.582166036216812, 44.82480694448113], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79885;79885;Jardin des Dames de la foi 134;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.85052061152282, -0.5792107828440793;"{""coordinates"": [-0.579210782844079, 44.85052061152282], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79886;79886;Jardin Public B 12 Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84823913747018, -0.5951433210464511;"{""coordinates"": [-0.595143321046451, 44.84823913747018], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79889;79889;Jardin de la Visitation 10;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84864033013897, -0.5948391214540405;"{""coordinates"": [-0.59483912145404, 44.84864033013897], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79890;79890;Jardin de la Visitation 22;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.82499876258882, -0.5824682028323331;"{""coordinates"": [-0.582468202832333, 44.82499876258882], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79894;79894;Jardin des Dames de la foi 124;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.825046573309386, -0.5820654930931081;"{""coordinates"": [-0.582065493093108, 44.825046573309386], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79897;79897;Jardin des Dames de la foi 20;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.854969435858784, -0.5863405669410081;"{""coordinates"": [-0.586340566941008, 44.854969435858784], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79900;79900;Parc Rivière 179 Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85450481811712, -0.6014114500757755;"{""coordinates"": [-0.601411450075775, 44.85450481811712], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79902;79902;Parc Bordelais O 22 Chênaie;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
